"Date","Price","Open","High","Low","Vol.","Change %"
"02-01-2020","125.85","124.66","126.27","124.23","2.71M","1.09%"
"03-01-2020","124.60","124.32","125.10","123.94","2.09M","-0.99%"
"06-01-2020","124.06","123.37","124.16","123.12","2.86M","-0.43%"
"07-01-2020","123.41","123.47","124.40","123.36","2.05M","-0.52%"
"08-01-2020","125.54","124.05","126.36","123.80","3.46M","1.73%"
"09-01-2020","127.81","126.49","127.88","126.39","2.79M","1.81%"
"10-01-2020","127.28","127.58","128.17","126.92","2.79M","-0.41%"
"13-01-2020","128.54","127.84","128.95","127.63","3.29M","0.99%"
"14-01-2020","128.80","128.62","130.09","128.34","3.84M","0.20%"
"15-01-2020","129.82","128.69","129.84","128.45","3.19M","0.79%"
"16-01-2020","130.55","130.50","130.93","129.71","2.42M","0.56%"
"17-01-2020","131.52","131.45","131.86","130.79","3.66M","0.74%"
"21-01-2020","130.53","131.11","131.82","130.39","3.10M","-0.75%"
"22-01-2020","131.49","130.93","132.27","130.93","2.48M","0.74%"
"23-01-2020","131.37","131.26","131.57","130.14","3.84M","-0.09%"
"24-01-2020","135.11","136.36","138.13","133.85","8.61M","2.85%"
"27-01-2020","130.64","131.15","131.98","128.87","6.43M","-3.31%"
"28-01-2020","132.45","132.00","133.87","131.14","3.71M","1.39%"
"29-01-2020","131.68","132.48","133.13","131.44","2.52M","-0.58%"
"30-01-2020","133.22","130.75","133.33","130.44","2.43M","1.17%"
"31-01-2020","129.87","132.17","132.25","129.38","3.52M","-2.51%"
"03-02-2020","131.00","130.55","132.22","130.45","2.72M","0.87%"
"04-02-2020","131.85","132.88","133.34","131.72","2.55M","0.65%"
"05-02-2020","133.60","133.43","133.80","131.29","4.08M","1.33%"
"06-02-2020","133.25","134.16","134.35","133.11","1.71M","-0.26%"
"07-02-2020","131.82","132.57","132.75","131.34","2.89M","-1.07%"
"10-02-2020","132.24","131.61","132.50","131.35","1.82M","0.32%"
"11-02-2020","132.63","133.03","133.65","132.32","1.73M","0.29%"
"12-02-2020","133.24","133.39","133.72","132.53","1.72M","0.46%"
"13-02-2020","134.46","133.15","134.67","133.06","3.18M","0.92%"
"14-02-2020","135.87","134.71","136.37","134.53","2.36M","1.05%"
"18-02-2020","135.60","135.87","136.75","134.94","2.43M","-0.20%"
"19-02-2020","136.93","136.30","137.42","136.12","1.79M","0.98%"
"20-02-2020","136.58","136.41","138.04","134.90","2.54M","-0.26%"
"21-02-2020","134.90","136.20","136.27","133.89","3.11M","-1.23%"
"24-02-2020","128.19","129.43","130.96","127.23","6.33M","-4.97%"
"25-02-2020","120.90","127.71","127.99","119.91","7.63M","-5.69%"
"26-02-2020","118.50","121.27","122.43","118.47","5.27M","-1.99%"
"27-02-2020","112.81","115.90","117.48","112.78","8.28M","-4.80%"
"28-02-2020","109.93","109.05","111.03","107.00","11.36M","-2.55%"
"02-03-2020","113.87","111.11","113.99","108.59","9.85M","3.58%"
"03-03-2020","108.01","115.02","116.40","107.00","9.29M","-5.15%"
"04-03-2020","115.70","110.25","115.79","109.25","7.47M","7.12%"
"05-03-2020","110.94","111.62","112.58","109.70","12.06M","-4.11%"
"06-03-2020","108.24","105.73","108.77","103.79","9.90M","-2.43%"
"09-03-2020","98.29","100.87","101.44","96.94","12.27M","-9.19%"
"10-03-2020","103.30","101.93","103.36","97.45","9.79M","5.10%"
"11-03-2020","95.38","100.30","100.96","93.87","8.82M","-7.67%"
"12-03-2020","83.53","87.66","89.61","81.81","12.21M","-12.42%"
"13-03-2020","99.60","90.38","100.08","84.30","12.68M","19.24%"
"16-03-2020","85.87","82.44","93.18","80.37","15.07M","-13.79%"
"17-03-2020","86.58","87.61","88.94","83.22","10.51M","0.83%"
"18-03-2020","73.75","80.02","81.52","67.00","14.36M","-14.82%"
"19-03-2020","77.07","72.54","77.89","69.79","12.33M","4.50%"
"20-03-2020","74.12","78.98","82.44","72.56","12.21M","-3.83%"
"23-03-2020","68.96","72.82","75.42","68.12","8.91M","-6.96%"
"24-03-2020","84.05","73.51","84.77","71.70","10.59M","21.88%"
"25-03-2020","90.17","87.61","96.46","85.32","11.05M","7.28%"
"26-03-2020","93.29","92.24","99.69","90.84","9.46M","3.46%"
"27-03-2020","88.73","87.94","91.97","85.82","7.00M","-4.89%"
"30-03-2020","90.27","88.51","91.39","85.27","5.56M","1.74%"
"31-03-2020","85.61","89.94","90.90","85.07","6.08M","-5.16%"
"01-04-2020","77.84","80.65","81.31","77.00","8.31M","-9.08%"
"02-04-2020","76.66","77.06","79.12","75.83","8.34M","-1.52%"
"03-04-2020","73.60","76.00","76.66","72.61","10.02M","-3.99%"
"06-04-2020","83.87","80.22","84.25","78.74","11.25M","13.95%"
"07-04-2020","87.58","91.43","93.30","87.42","8.69M","4.42%"
"08-04-2020","92.08","89.21","93.00","88.12","6.12M","5.14%"
"09-04-2020","94.82","94.59","97.85","93.46","6.90M","2.98%"
"13-04-2020","90.33","93.29","93.42","87.94","5.04M","-4.74%"
"14-04-2020","88.39","91.46","92.50","85.91","8.70M","-2.15%"
"15-04-2020","83.79","83.43","85.40","80.68","10.42M","-5.20%"
"16-04-2020","81.35","83.79","83.94","80.33","7.53M","-2.91%"
"17-04-2020","87.39","85.32","87.39","84.28","8.27M","7.42%"
"20-04-2020","84.01","84.59","85.27","82.69","6.14M","-3.87%"
"21-04-2020","81.52","80.73","82.45","79.47","7.36M","-2.96%"
"22-04-2020","82.54","83.60","83.66","81.97","5.13M","1.25%"
"23-04-2020","82.46","83.24","84.78","81.71","5.81M","-0.10%"
"24-04-2020","83.17","84.13","84.78","81.31","9.13M","0.86%"
"27-04-2020","85.06","83.47","85.15","82.34","7.79M","2.27%"
"28-04-2020","88.19","87.56","88.96","86.21","7.17M","3.68%"
